点号,X (m),Y (m),Z (m)
1,0.056135,0.000000,0.213276
2,0.060140,0.000000,0.218509
3,0.064589,0.000001,0.223537
4,0.069471,0.000001,0.228330
5,0.074772,0.000001,0.232860
6,0.080479,0.000002,0.237098
7,0.086574,0.000002,0.241019
8,0.093040,0.000003,0.244594
9,0.099857,0.000004,0.247799
10,0.107004,0.000004,0.250611
11,0.114458,0.000005,0.253006
12,0.122195,0.000006,0.254962
13,0.130191,0.000007,0.256460
14,0.138417,0.000008,0.257480
15,0.146847,0.000009,0.258006
16,0.155451,0.000011,0.258022
17,0.164200,0.000012,0.257513
18,0.173062,0.000013,0.256468
19,0.182006,0.000015,0.254876
20,0.191000,0.000017,0.252729
21,0.200011,0.000018,0.250019
22,0.056135,0.000000,0.213276
23,0.060185,-0.000000,0.218086
24,0.064650,-0.000000,0.222688
25,0.069518,-0.000001,0.227055
26,0.074777,-0.000001,0.231160
27,0.080412,-0.000001,0.234976
28,0.086407,-0.000002,0.238478
29,0.092744,-0.000002,0.241642
30,0.099404,-0.000003,0.244444
31,0.106366,-0.000003,0.246861
32,0.113607,-0.000004,0.248873
33,0.121106,-0.000004,0.250459
34,0.128837,-0.000005,0.251601
35,0.136774,-0.000006,0.252282
36,0.144890,-0.000007,0.252486
37,0.153157,-0.000007,0.252198
38,0.161547,-0.000008,0.251406
39,0.170029,-0.000009,0.250099
