点号,X (m),Y (m),Z (m)
1,0.056135,0.000000,0.213276
2,0.060140,-0.000000,0.218509
3,0.064589,-0.000001,0.223537
4,0.069470,-0.000001,0.228330
5,0.074771,-0.000002,0.232859
6,0.080477,-0.000002,0.237098
7,0.086572,-0.000003,0.241018
8,0.093037,-0.000003,0.244593
9,0.099854,-0.000004,0.247799
10,0.107000,-0.000005,0.250610
11,0.114454,-0.000006,0.253005
12,0.122190,-0.000007,0.254962
13,0.130185,-0.000008,0.256460
14,0.138411,-0.000010,0.257481
15,0.146840,-0.000011,0.258007
16,0.155443,-0.000013,0.258023
17,0.164191,-0.000014,0.257515
18,0.173053,-0.000016,0.256471
19,0.181996,-0.000018,0.254879
20,0.190990,-0.000019,0.252732
21,0.200000,-0.000021,0.250023
22,0.056135,0.000000,0.213276
23,0.060186,-0.000000,0.218081
24,0.064652,-0.000000,0.222678
25,0.069521,-0.000001,0.227040
26,0.074780,-0.000001,0.231140
27,0.080415,-0.000001,0.234951
28,0.086410,-0.000002,0.238448
29,0.092747,-0.000002,0.241607
30,0.099406,-0.000003,0.244403
31,0.106367,-0.000003,0.246816
32,0.113608,-0.000004,0.248822
33,0.121106,-0.000005,0.250403
34,0.128835,-0.000005,0.251540
35,0.136770,-0.000006,0.252216
36,0.144885,-0.000007,0.252414
37,0.153150,-0.000008,0.252121
38,0.161538,-0.000009,0.251325
39,0.170018,-0.000010,0.250013
