点号,X (m),Y (m),Z (m)
1,0.056135,0.000000,0.213276
2,0.060141,0.000000,0.218507
3,0.064590,0.000001,0.223532
4,0.069472,0.000001,0.228323
5,0.074773,0.000001,0.232850
6,0.080480,0.000002,0.237086
7,0.086575,0.000002,0.241004
8,0.093040,0.000002,0.244577
9,0.099857,0.000003,0.247780
10,0.107003,0.000004,0.250589
11,0.114457,0.000004,0.252981
12,0.122194,0.000005,0.254935
13,0.130188,0.000006,0.256431
14,0.138413,0.000006,0.257449
15,0.146842,0.000007,0.257972
16,0.155445,0.000008,0.257986
17,0.164192,0.000009,0.257475
18,0.173053,0.000010,0.256428
19,0.181996,0.000012,0.254834
20,0.190988,0.000013,0.252684
21,0.199997,0.000014,0.249972
