点号,X (m),Y (m),Z (m)
1,0.056135,0.000000,0.213276
2,0.060140,-0.000000,0.218508
3,0.064589,-0.000001,0.223534
4,0.069470,-0.000001,0.228326
5,0.074770,-0.000001,0.232854
6,0.080476,-0.000002,0.237091
7,0.086570,-0.000002,0.241010
8,0.093035,-0.000003,0.244584
9,0.099851,-0.000004,0.247788
10,0.106997,-0.000004,0.250599
11,0.114450,-0.000005,0.252993
12,0.122185,-0.000006,0.254948
13,0.130179,-0.000007,0.256445
14,0.138404,-0.000008,0.257465
15,0.146832,-0.000009,0.257991
16,0.155434,-0.000010,0.258006
17,0.164181,-0.000012,0.257497
18,0.173042,-0.000013,0.256452
19,0.181984,-0.000014,0.254861
20,0.190976,-0.000016,0.252714
21,0.199985,-0.000018,0.250004
22,0.056135,0.000000,0.213276
23,0.060186,-0.000000,0.218080
24,0.064652,-0.000001,0.222676
25,0.069520,-0.000001,0.227036
26,0.074779,-0.000001,0.231135
27,0.080414,-0.000001,0.234944
28,0.086408,-0.000002,0.238440
29,0.092744,-0.000002,0.241598
30,0.099403,-0.000003,0.244393
31,0.106363,-0.000003,0.246804
32,0.113603,-0.000004,0.248810
33,0.121100,-0.000004,0.250390
34,0.128828,-0.000005,0.251527
35,0.136762,-0.000006,0.252201
36,0.144875,-0.000006,0.252399
37,0.153139,-0.000007,0.252106
38,0.161526,-0.000008,0.251308
39,0.170004,-0.000009,0.249997
